households,no-internet,county-name,county,state,code,no-internet-pct
11026.0,5686.0,"Corozal Municipio, Puerto Rico",047,72,72047,0.5156901868311264
3976.0,2157.0,"Maunabo Municipio, Puerto Rico",095,72,72095,0.5425050301810865
7132.0,2972.0,"Peñuelas Municipio, Puerto Rico",111,72,72111,0.4167134043746495
53341.0,25042.0,"Ponce Municipio, Puerto Rico",113,72,72113,0.4694700136855327
14278.0,8622.0,"San Sebastián Municipio, Puerto Rico",131,72,72131,0.6038660876873512
22205.0,8844.0,"Toa Alta Municipio, Puerto Rico",135,72,72135,0.39828867372213467
27802.0,11565.0,"Toa Baja Municipio, Puerto Rico",137,72,72137,0.4159772678224588
2555.0,1359.0,"Vieques Municipio, Puerto Rico",147,72,72147,0.5318982387475538
11989.0,5787.0,"Yabucoa Municipio, Puerto Rico",151,72,72151,0.48269246809575445
12824.0,5800.0,"Aguada Municipio, Puerto Rico",003,72,72003,0.45227698066126015
49386.0,16783.0,"Caguas Municipio, Puerto Rico",025,72,72025,0.33983315109545215
14603.0,4309.0,"Canóvanas Municipio, Puerto Rico",029,72,72029,0.2950763541737999
12998.0,6518.0,"Cidra Municipio, Puerto Rico",041,72,72041,0.5014617633482075
13783.0,7143.0,"Coamo Municipio, Puerto Rico",043,72,72043,0.5182471160124792
12029.0,5302.0,"Dorado Municipio, Puerto Rico",051,72,72051,0.44076814365283895
6636.0,2488.0,"Luquillo Municipio, Puerto Rico",089,72,72089,0.37492465340566605
9109.0,4967.0,"Barranquitas Municipio, Puerto Rico",019,72,72019,0.5452848830826655
6797.0,3548.0,"Orocovis Municipio, Puerto Rico",107,72,72107,0.5219949977931441
13670.0,7129.0,"San Lorenzo Municipio, Puerto Rico",129,72,72129,0.5215069495245063
9255.0,3880.0,"Añasco Municipio, Puerto Rico",011,72,72011,0.41923284710967046
4532.0,1863.0,"Ceiba Municipio, Puerto Rico",037,72,72037,0.4110767872903795
5949.0,3700.0,"Ciales Municipio, Puerto Rico",039,72,72039,0.6219532694570516
6075.0,3850.0,"Comerío Municipio, Puerto Rico",045,72,72045,0.6337448559670782
15230.0,7142.0,"Isabela Municipio, Puerto Rico",071,72,72071,0.46894287590282335
4818.0,2285.0,"Jayuya Municipio, Puerto Rico",073,72,72073,0.4742631797426318
10051.0,6164.0,"Lares Municipio, Puerto Rico",081,72,72081,0.6132723112128147
12534.0,5294.0,"Las Piedras Municipio, Puerto Rico",085,72,72085,0.42237115047071966
15938.0,6285.0,"Río Grande Municipio, Puerto Rico",119,72,72119,0.394340569707617
145321.0,62567.0,"San Juan Municipio, Puerto Rico",127,72,72127,0.4305434176753532
12529.0,6552.0,"Vega Alta Municipio, Puerto Rico",143,72,72143,0.5229467635086599
17746.0,9629.0,"Vega Baja Municipio, Puerto Rico",145,72,72145,0.5426011495548293
1914.0,1323.0,"Maricao Municipio, Puerto Rico",093,72,72093,0.6912225705329154
8573.0,3957.0,"Aibonito Municipio, Puerto Rico",009,72,72009,0.4615653796803919
6575.0,2690.0,"Guayanilla Municipio, Puerto Rico",059,72,72059,0.4091254752851711
12627.0,3900.0,"Juncos Municipio, Puerto Rico",077,72,72077,0.30886196246139225
8059.0,6426.0,"Lajas Municipio, Puerto Rico",079,72,72079,0.7973694006700583
7568.0,4107.0,"Sabana Grande Municipio, Puerto Rico",121,72,72121,0.5426797040169133
6166.0,3807.0,"Adjuntas Municipio, Puerto Rico",001,72,72001,0.6174180992539734
11571.0,5939.0,"Camuy Municipio, Puerto Rico",027,72,72027,0.5132659234292628
5528.0,2855.0,"Guánica Municipio, Puerto Rico",055,72,72055,0.5164616497829233
6271.0,2570.0,"Hormigueros Municipio, Puerto Rico",067,72,72067,0.4098229947376814
15703.0,8287.0,"Manatí Municipio, Puerto Rico",091,72,72091,0.5277335540979431
8346.0,3038.0,"Naguabo Municipio, Puerto Rico",103,72,72103,0.36400670980110233
8696.0,4399.0,"Naranjito Municipio, Puerto Rico",105,72,72105,0.5058647654093836
11922.0,7008.0,"San Germán Municipio, Puerto Rico",125,72,72125,0.587820835430297
9727.0,4771.0,"Utuado Municipio, Puerto Rico",141,72,72141,0.4904903875809602
32308.0,15275.0,"Arecibo Municipio, Puerto Rico",013,72,72013,0.47279311625603565
6127.0,2624.0,"Arroyo Municipio, Puerto Rico",015,72,72015,0.42826832054839237
9068.0,3467.0,"Cataño Municipio, Puerto Rico",033,72,72033,0.3823334803705337
4300.0,2261.0,"Florida Municipio, Puerto Rico",054,72,72054,0.5258139534883721
14443.0,5971.0,"Hatillo Municipio, Puerto Rico",065,72,72065,0.41341826490341343
18378.0,7562.0,"Humacao Municipio, Puerto Rico",069,72,72069,0.4114702361519208
15964.0,5737.0,"Juana Díaz Municipio, Puerto Rico",075,72,72075,0.3593710849411175
10129.0,4079.0,"Morovis Municipio, Puerto Rico",101,72,72101,0.40270510415638266
29769.0,12941.0,"Mayagüez Municipio, Puerto Rico",097,72,72097,0.4347139641909369
7759.0,3619.0,"Santa Isabel Municipio, Puerto Rico",133,72,72133,0.4664260858358036
24357.0,7538.0,"Trujillo Alto Municipio, Puerto Rico",139,72,72139,0.30947982099601756
