county-name,access,households
Rutland County,internet-sub,19202.0
Rutland County,internet-access-no-sub,1202.0
Rutland County,no-internet,4756.0
Orleans County,internet-sub,8326.0
Orleans County,internet-access-no-sub,461.0
Orleans County,no-internet,2711.0
Grand Isle County,internet-sub,2412.0
Grand Isle County,internet-access-no-sub,107.0
Grand Isle County,no-internet,433.0
Orange County,internet-sub,9308.0
Orange County,internet-access-no-sub,395.0
Orange County,no-internet,2572.0
Chittenden County,internet-sub,55565.0
Chittenden County,internet-access-no-sub,2389.0
Chittenden County,no-internet,6952.0
Lamoille County,internet-sub,8342.0
Lamoille County,internet-access-no-sub,584.0
Lamoille County,no-internet,1475.0
Windsor County,internet-sub,19417.0
Windsor County,internet-access-no-sub,1067.0
Windsor County,no-internet,3637.0
Franklin County,internet-sub,14699.0
Franklin County,internet-access-no-sub,583.0
Franklin County,no-internet,3367.0
Caledonia County,internet-sub,8675.0
Caledonia County,internet-access-no-sub,655.0
Caledonia County,no-internet,2764.0
Windham County,internet-sub,14600.0
Windham County,internet-access-no-sub,1311.0
Windham County,no-internet,3148.0
Bennington County,internet-sub,11991.0
Bennington County,internet-access-no-sub,634.0
Bennington County,no-internet,2655.0
Addison County,internet-sub,11662.0
Addison County,internet-access-no-sub,566.0
Addison County,no-internet,2473.0
Essex County,internet-sub,1888.0
Essex County,internet-access-no-sub,64.0
Essex County,no-internet,768.0
Washington County,internet-sub,19845.0
Washington County,internet-access-no-sub,1097.0
Washington County,no-internet,3777.0
